cpf,nome,arg_class,ano_entrada
111.508.083-76,Rodrigo Alice,541.50,2018
111.727.108-90,Pablo Ricardo,550.50,2018
111.855.733-15,Caua Felipe,66.80,2018
111.348.172-10,Maria Diego,35.75,2018
111.528.834-76,Bianca Renan,0.00,2018
111.465.246-66,Isadora Rafael,530.80,2018
111.909.571-50,Jose Luiz,636.40,2018
111.626.328-27,Mauricio Alex,0.00,2018
111.003.703-01,Julia Vitor,530.90,2018
111.174.561-04,Vinicius Leticia,632.90,2018
111.524.550-72,Valentina Vinicius,19.88,2018
111.710.671-57,Helena Clara,0.00,2018
111.658.284-09,Yuri Maria,37.30,2018
111.870.707-50,Eduarda Leticia,37.18,2018
111.649.289-07,Alice Vitoria,496.10,2018
111.017.683-42,Maria Wagner,662.66,2018
111.668.953-44,Roberto Leticia,47.00,2018
111.498.942-80,Marcelo Carolina,36.97,2018
111.226.082-77,Ricardo Rafael,52.67,2018
111.466.923-92,Rafael Marcelo,16.63,2018
111.054.240-07,Sophia Clara,474.20,2018
111.749.024-04,Mauricio Alice,678.46,2018
111.634.369-38,Eduardo Bruna,640.72,2018
111.949.987-09,Raul Isadora,724.82,2018
111.165.028-22,Leticia Helena,536.20,2018
111.781.584-85,Maria Isabela,37.65,2018
111.371.064-30,Gabriel Joao,501.90,2018
111.709.969-87,Lorena Vinicius,513.50,2018
111.864.315-76,Renato Viviane,553.20,2018
111.237.052-30,Melissa Pablo,0.00,2018
111.084.506-10,Caua Eduardo,41.20,2018
111.421.733-50,Cecilia Otavio,604.66,2018
111.214.033-34,Bianca Vinicius,522.30,2018
111.105.898-46,Maria Luan,495.50,2018
111.515.392-19,Carolina Yuri,567.60,2018
111.106.036-42,Mariana Luciana,0.00,2018
111.943.616-10,Julia Maria,567.60,2018
111.990.607-90,Ricardo Amanda,38.28,2018
111.502.436-08,Eduarda Alice,510.10,2018
111.787.914-58,Ricardo Mateus,646.32,2018
111.544.786-91,Vitoria Wagner,0.00,2018
111.365.776-20,Vinicius Thales,0.00,2018
111.175.335-31,Thales Alice,50.40,2018
111.212.005-80,Diego Joao,0.00,2018
111.821.586-37,Leonardo Vitoria,484.40,2018
111.484.501-68,Daniel Fernando,498.10,2018
111.876.497-60,Nicolas Alice,46.81,2018
111.915.722-13,Leandro Otavio,0.00,2018
111.396.835-18,Diego Mariana,44.44,2018
111.514.651-70,Rafael Maria,37.94,2018
111.416.787-28,Diego Alana,46.04,2018
111.927.402-45,Nathanael Wagner,16.63,2018
111.331.327-17,Beatriz Vitor,39.13,2018
111.635.658-24,Pedro Mariana,0.00,2018
111.139.914-98,Sophia Enzo,44.74,2018
111.328.767-28,Felipe Valeria,36.11,2018
111.060.257-00,Joao Alex,54.30,2018
111.815.613-32,Paula Lais,38.63,2018
111.811.218-54,Hugo Fernando,23.50,2018
111.497.113-04,Yuri Viviane,56.67,2018
111.028.182-10,Vinicius Marcos,41.24,2018
111.847.215-35,Vinicius Luan,49.00,2018
111.130.826-89,Clara Ricardo,38.44,2018
111.024.493-08,Isadora Emilly,612.76,2018
111.265.667-54,Diego Leandro,509.30,2018
111.702.617-02,Fernanda Raul,676.68,2018
111.011.822-59,Luca Bianca,50.10,2018
111.397.385-71,Isabela Sofia,49.00,2018
111.684.125-96,Sofia Marcelo,525.10,2018
111.645.890-12,Natalia Sophia,0.00,2018
111.691.154-22,Alice Vanessa,540.00,2018
111.045.439-52,Alex Vinicius,575.20,2018
111.908.980-43,Joao Alice,541.50,2018
111.436.952-38,Diego Laura,487.60,2018
111.522.572-44,Caroline Marcelo,675.70,2018
111.852.413-85,Sophia Catarina,476.90,2018
111.526.561-18,Eloah Alex,46.63,2018
111.218.924-25,Eduardo Alice,575.50,2018
111.652.366-37,Mateus Amanda,400.60,2018
111.007.502-50,Catarina Mauricio,48.50,2018
111.995.314-49,Luana Maria,45.60,2018
111.108.817-09,Renato Bianca,575.80,2018
111.199.695-12,Bruno Clara,47.72,2018
111.858.289-04,Valeria Gabriel,645.30,2018
111.283.613-98,Paula Gabriel,29.76,2018
111.328.705-95,Pedro Leonardo,561.30,2018
111.232.430-96,Maria Viviane,539.60,2018
111.470.517-91,Otavio Otavio,0.00,2018
111.970.507-41,Leticia Eloah,614.00,2018
111.410.744-10,Lucas Cecilia,14.63,2018
111.042.189-81,Clara Joao,43.57,2018
111.042.820-89,Alex Renato,582.60,2018
111.313.069-97,Raul Joao,537.60,2018
111.464.726-58,Matheus Carolina,18.50,2018
111.940.465-62,Isadora Renan,681.46,2018
111.176.277-47,Caua Elisa,501.10,2018
111.818.568-75,Amanda Renato,52.54,2018
111.439.925-44,Eloah Natalia,47.93,2018
111.090.070-16,Eloah Mauricio,42.00,2018
111.036.831-76,Sofia Alice,506.80,2018
111.064.603-21,Nathanael Enzo,48.50,2018
111.981.293-16,Lucas Rafael,54.88,2018
111.729.918-02,Nicolas Thiago,0.00,2018
111.621.843-40,Caua Vitoria,523.50,2018
111.454.608-37,Lorena Viviane,668.96,2018
111.469.282-94,Mateus Sophia,581.20,2018
111.768.193-50,Sophie Lucas,54.64,2018
111.536.273-20,Gabriel Fernando,51.27,2018
111.982.651-98,Nathanael Valentina,41.70,2018
111.266.239-93,Marcelo Mariana,500.90,2018
111.458.486-37,Enzo Clara,545.70,2018
111.867.254-08,Yuri Helena,0.00,2018
111.316.416-09,Vanessa Valentina,655.48,2018
111.821.212-12,Luan Felipe,46.74,2018
111.838.495-82,Alice Guilherme,0.00,2018
111.817.047-21,Diego Sophia,51.92,2018
111.587.472-18,Evelyn Eduardo,655.90,2018
111.894.947-87,Arthur Eduardo,47.75,2018
111.002.791-89,Carolina Ricardo,574.20,2018
111.698.163-53,Sophie Wagner,725.66,2018
111.239.446-70,Leticia Otavio,460.70,2018
111.811.135-80,Marcelo Larissa,507.90,2018
111.696.097-25,Maria Elisa,468.30,2018
111.751.543-26,Sophia Caio,0.00,2018
111.559.977-26,Nathanael Maria,20.88,2018
111.825.478-29,Lara Viviane,507.50,2018
111.528.415-94,Carolina Camila,568.50,2018
111.721.184-69,Bruno Otavio,607.70,2018
111.255.250-07,Otavio Sophie,15.50,2018
111.173.461-59,Caio Guilherme,611.10,2018
111.160.259-79,Caua Laura,508.10,2018
111.693.487-57,Catarina Diego,522.50,2018
111.302.318-82,Fernanda Livia,42.50,2018
111.408.184-53,Lucas Roberto,58.14,2018
111.383.131-50,Daniel Vitoria,456.37,2018
111.797.227-16,Amanda Rodrigo,48.63,2018
111.758.170-68,Eduarda Matheus,48.31,2018
111.597.524-90,Viviane Thales,54.17,2018
111.618.791-20,Alex Emilly,36.67,2018
111.976.228-03,Renato Juliana,45.94,2018
111.838.839-10,Guilherme Alana,547.80,2018
111.989.817-45,Bruno Joao,51.35,2018
111.943.483-49,Vitoria Yuri,43.13,2018
111.378.906-08,Catarina Vinicius,561.00,2018
111.199.411-40,Fernanda Fernando,15.38,2018
111.572.177-02,Joao Natalia,541.80,2018
111.713.455-24,Luciana Lara,513.80,2018
111.633.472-95,Valeria Nathanael,520.90,2018
111.015.611-67,Elisa Diego,555.30,2018
111.889.180-70,Juliana Nicolas,0.00,2018
111.570.578-84,Emilly Bruna,641.54,2018
111.117.288-42,Catarina Carolina,643.00,2018
111.426.047-46,Sophie Manuela,719.62,2018
111.166.296-58,Luciana Maria,43.40,2018
111.735.382-08,Guilhermina Vanessa,507.00,2018
111.692.093-62,Ricardo Marcos,499.90,2018
111.169.038-68,Valentina Sophie,564.40,2018
111.691.991-20,Fernando Daniel,36.00,2018
111.673.301-96,Alana Vitoria,484.10,2018
111.287.515-22,Livia Caroline,44.73,2018
111.507.776-00,Emilly Fernando,496.20,2018
111.613.792-54,Mariana Sophie,658.20,2018
111.786.121-04,Evelyn Michele,622.90,2018
111.107.960-64,Valentina Fernanda,462.50,2018
111.246.783-20,Cecilia Lara,693.00,2018
111.862.819-88,Juliana Helena,507.90,2018
111.878.520-41,Maria Julia,43.14,2018
111.095.118-89,Otavio Bruna,458.50,2018
111.028.296-28,Elisa Livia,15.00,2018
111.166.762-69,Luan Eloah,0.00,2018
111.507.307-64,Matheus Camila,500.60,2018
111.440.184-21,Pablo Lorena,50.06,2018
111.639.837-16,Manuela Valentina,38.98,2018
111.371.877-56,Guilhermina Bruno,526.40,2018
111.254.054-64,Mauricio Alex,0.00,2018
111.851.476-05,Alana Felipe,499.90,2018
111.328.818-14,Carolina Maria,583.60,2018
111.869.341-28,Laura Guilherme,0.00,2018
111.641.387-29,Otavio Vitor,619.90,2018
111.255.025-34,Alice Fernanda,603.90,2018
111.706.134-64,Pedro Fernanda,43.31,2018
111.186.033-79,Leticia Fernanda,44.63,2018
111.252.639-90,Alice Sofia,0.00,2018
111.312.904-78,Wagner Camila,462.90,2018
111.058.100-60,Luciana Eduarda,589.40,2018
111.807.518-76,Viviane Wagner,26.24,2018
111.368.410-07,Viviane Catarina,55.57,2018
111.493.635-68,Natalia Livia,43.73,2018
111.778.191-09,Rafael Natalia,663.24,2018
111.630.812-04,Marcelo Luiz,36.97,2018
111.187.464-30,Matheus Thiago,38.94,2018
111.120.119-16,Thiago Thales,500.10,2018
111.658.667-80,Helena Isabela,39.88,2018
111.002.458-60,Rodrigo Larissa,54.20,2018
111.392.613-03,Marcos Eloah,535.70,2018
111.918.137-19,Vinicius Eduarda,39.75,2018
111.275.248-39,Maria Guilherme,485.00,2018
111.291.332-55,Bruno Vinicius,684.60,2018
111.079.429-54,Daniel Fernando,664.14,2018
111.796.834-00,Gabriel Thiago,605.80,2018
111.422.485-80,Leticia Hugo,540.70,2018
111.566.873-04,Juliana Pablo,1.00,2018
111.947.119-90,Eloah Isabela,16.00,2018
111.888.769-28,Caua Thales,683.22,2018
111.096.515-73,Luiz Isabela,634.00,2018
111.151.538-40,Enzo Camila,589.70,2018
111.211.422-89,Marcos Rodrigo,645.60,2018
111.750.256-79,Leonardo Sophia,48.37,2018
111.090.825-98,Miguel Clara,528.00,2018
111.902.780-05,Mauricio Gabriel,709.66,2018
111.781.843-53,Melissa Alice,34.56,2018
111.299.751-85,Luana Mauricio,728.66,2018
111.165.679-10,Enzo Enzo,709.76,2018
111.992.588-76,Larissa Raul,46.25,2018
111.488.487-07,Marcos Rodrigo,54.37,2018
111.582.873-58,Matheus Viviane,532.70,2018
111.595.084-14,Diego Nathanael,43.25,2018
111.213.681-00,Emilly Luciana,539.50,2018
111.244.758-57,Vitoria Jose,47.58,2018
111.905.805-21,Gabriel Guilhermina,529.50,2018
111.113.045-25,Melissa Caroline,0.00,2018
111.646.765-79,Ricardo Guilhermina,46.94,2018
111.443.308-60,Emilly Leandro,641.76,2018
111.564.833-20,Lucas Raul,701.32,2018
111.053.230-34,Isadora Vinicius,0.00,2018
111.028.254-68,Vitor Isadora,519.80,2018
111.127.321-73,Pedro Clara,490.60,2018
111.375.202-03,Maria Renan,45.13,2018
111.906.997-03,Fernanda Thiago,548.80,2018
111.396.952-47,Mariana Melissa,16.00,2018
111.441.361-03,Michele Michele,54.34,2018
111.061.098-48,Vitor Laura,527.90,2018
111.920.279-00,Lucas Camila,520.70,2018
111.392.341-58,Livia Larissa,578.70,2018
111.115.169-87,Viviane Sophia,487.30,2018
111.066.731-66,Vanessa Melissa,44.60,2018
111.902.515-93,Pablo Sophia,429.80,2018
111.616.457-79,Luciana Eduardo,496.70,2018
111.676.885-01,Caua Livia,592.80,2018
111.983.689-75,Sophia Nicolas,708.34,2018
111.506.350-73,Rodrigo Nicolas,506.80,2018
111.444.168-03,Juliana Caroline,627.00,2018
111.479.698-44,Leandro Eloah,57.10,2018
111.977.892-26,Rafael Gabriel,47.71,2018
111.123.536-30,Matheus Renato,491.50,2018
111.516.918-32,Natalia Wagner,37.63,2018
111.368.746-00,Marcelo Carolina,36.97,2018
111.359.948-05,Natalia Jose,35.63,2018
111.909.986-73,Valeria Felipe,522.30,2018
111.177.392-00,Lara Sophie,48.01,2018
111.203.230-41,Lucas Nicolas,38.65,2018
111.553.453-17,Enzo Marcelo,715.66,2018
111.801.854-16,Lorena Marcelo,50.56,2018
111.207.052-25,Fernanda Vinicius,663.68,2018
111.556.334-69,Fernanda Arthur,679.12,2018
111.384.934-52,Elisa Alice,39.00,2018
111.828.159-76,Catarina Carolina,53.19,2018
111.087.588-04,Gabriel Eloah,0.00,2018
111.367.881-40,Amanda Gustavo,682.26,2018
111.716.249-78,Thales Cecilia,49.17,2018
111.798.566-62,Caio Lorena,0.00,2018
111.133.822-34,Nicolas Lara,0.00,2018
111.075.500-81,Fernando Felipe,530.90,2018
111.475.831-70,Wagner Lucas,42.21,2018
111.323.926-86,Fernando Daniel,502.70,2018
111.508.758-17,Roberto Daniel,0.00,2018
111.594.587-52,Michele Carolina,609.40,2018
111.811.454-91,Fernanda Pedro,44.30,2018
111.913.443-91,Clara Bruno,41.54,2018
111.996.307-50,Manuela Alice,538.70,2018
111.899.613-43,Vitoria Catarina,556.50,2018
111.424.518-55,Rodrigo Matheus,40.69,2018
111.524.006-86,Marcos Evelyn,515.70,2018
111.855.601-89,Caroline Hugo,568.20,2018
111.786.169-00,Lucas Eduardo,576.90,2018
111.811.453-84,Caio Arthur,31.00,2018
111.018.262-82,Cecilia Fernando,45.74,2018
111.956.434-60,Thiago Alana,16.00,2018
111.429.208-17,Lucas Mateus,498.80,2018
111.229.266-53,Fernando Raul,414.50,2018
111.794.415-52,Bruna Nathanael,539.50,2018
111.276.734-79,Camila Guilherme,538.70,2018
111.231.748-07,Eduarda Leonardo,452.10,2018
111.403.426-74,Vitoria Alana,604.90,2018
111.499.767-14,Leonardo Isabela,0.00,2018
111.483.933-94,Gustavo Leandro,0.00,2018
111.789.197-52,Jose Vanessa,649.38,2018
111.415.709-57,Bruna Viviane,522.00,2018
111.160.523-79,Isabela Fernanda,0.00,2018
111.930.251-90,Luiz Rafael,550.80,2018
111.178.246-06,Emilly Manuela,593.70,2018
111.528.337-82,Larissa Nathanael,0.00,2018
111.711.897-43,Rafael Manuela,42.90,2018
111.288.836-19,Pedro Amanda,515.20,2018
111.672.880-51,Renato Thiago,40.98,2018
111.201.814-13,Melissa Amanda,559.60,2018
111.104.298-30,Isabela Maria,52.69,2018
111.776.393-40,Sofia Vinicius,508.30,2018
111.107.193-01,Rodrigo Clara,665.98,2018
111.654.834-20,Laura Cecilia,660.76,2018
111.640.673-48,Gustavo Alice,571.00,2018
111.930.507-80,Ricardo Alex,497.80,2018
111.295.454-88,Rafael Lara,540.40,2018
111.687.194-68,Maria Leticia,487.60,2018
111.618.654-42,Livia Leonardo,627.20,2018
111.255.930-15,Mateus Felipe,593.40,2018
111.504.774-26,Sofia Melissa,43.00,2018
111.996.445-23,Valentina Luca,51.57,2018
111.960.062-82,Yuri Sophie,639.94,2018
111.726.964-81,Caua Isabela,36.69,2018
111.154.415-63,Catarina Wagner,40.57,2018
111.203.559-17,Manuela Paula,45.31,2018
111.472.781-26,Vitoria Guilherme,19.50,2018
111.153.026-05,Hugo Sofia,526.80,2018
111.304.048-36,Isabela Bruno,15.50,2018
111.271.523-06,Lorena Alice,553.00,2018
111.380.118-63,Eduarda Larissa,618.80,2018
111.751.903-73,Raul Vitoria,506.00,2018
111.910.545-88,Eduarda Catarina,61.90,2018
111.935.535-48,Vitor Viviane,660.72,2018
111.269.835-07,Luca Raul,502.40,2018
111.024.437-48,Clara Clara,520.50,2018
111.512.223-90,Leticia Leticia,669.92,2018
111.178.850-00,Caua Rafael,61.25,2018
111.938.320-47,Luca Joao,395.90,2018
111.997.080-70,Thiago Caio,617.86,2018
111.185.473-80,Melissa Roberto,55.70,2018
111.582.746-02,Fernando Cecilia,670.72,2018
111.494.795-03,Leandro Elisa,0.00,2018
111.324.559-70,Arthur Wagner,665.50,2018
111.661.556-07,Valentina Yuri,50.84,2018
111.666.600-36,Amanda Vinicius,586.40,2018
111.460.755-61,Nicolas Vinicius,54.80,2018
111.148.032-99,Diego Maria,0.00,2018
111.672.610-34,Jose Cecilia,52.27,2018
111.062.528-76,Isadora Vinicius,57.27,2018
111.317.514-37,Wagner Isabela,673.56,2018
111.370.666-69,Carolina Matheus,61.27,2018
111.476.019-75,Otavio Catarina,0.00,2018
111.455.939-08,Laura Luciana,0.00,2018
111.692.913-47,Gabriel Guilhermina,529.50,2018
111.997.361-51,Melissa Caroline,0.00,2018
111.916.078-92,Camila Lucas,46.64,2018
111.822.725-79,Eduarda Vinicius,633.10,2018
111.383.062-60,Eduardo Roberto,15.00,2018
111.628.656-73,Mariana Thales,0.00,2018
111.496.985-34,Sophia Roberto,46.00,2018
111.977.129-00,Guilherme Daniel,57.00,2018
111.544.925-25,Bruna Miguel,0.00,2018
111.517.755-94,Juliana Wagner,32.90,2018
111.002.210-52,Elisa Fernanda,41.40,2018
111.700.029-79,Melissa Melissa,497.90,2018
111.634.597-00,Renato Felipe,0.00,2018
111.444.604-59,Alice Fernanda,529.20,2018
111.434.470-55,Melissa Sophia,578.20,2018
111.088.069-75,Beatriz Raul,581.70,2018
111.525.872-23,Luiz Isadora,41.42,2018
111.503.373-50,Nathanael Rodrigo,692.68,2018
111.996.137-55,Julia Jose,0.00,2018
111.301.261-65,Fernando Camila,424.70,2018
111.989.849-29,Fernando Thales,41.75,2018
111.098.734-43,Alex Luana,38.94,2018
111.493.654-75,Rafael Laura,498.60,2018
111.345.120-44,Nicolas Alana,403.30,2018
111.295.799-38,Guilhermina Thales,541.30,2018
111.978.429-01,Michele Bianca,505.30,2018
111.631.743-55,Gabriel Valentina,445.70,2018
111.172.202-70,Wagner Diego,37.30,2018
111.703.227-74,Helena Leticia,559.60,2018
111.637.481-13,Larissa Nicolas,45.18,2018
111.899.759-24,Leticia Thales,37.17,2018
111.896.723-23,Valentina Pablo,659.94,2018
111.975.918-05,Nathanael Bianca,0.00,2018
111.379.883-00,Joao Leticia,578.10,2018
111.534.793-71,Mateus Eduarda,497.50,2018
111.362.334-30,Raul Valentina,544.50,2018
111.630.462-93,Vanessa Lorena,527.70,2018
111.199.726-98,Alana Renato,521.40,2018
111.084.059-75,Pedro Catarina,47.33,2018
111.861.017-17,Luca Miguel,538.60,2018
111.423.424-84,Maria Renan,575.20,2018
111.485.533-48,Thiago Gustavo,59.90,2018
111.041.322-77,Beatriz Sofia,544.50,2018
111.097.687-29,Joao Leticia,568.00,2018
111.717.411-10,Enzo Livia,543.60,2018
111.864.648-18,Thales Camila,507.00,2018
111.107.020-67,Paula Renato,549.40,2018
111.215.607-60,Roberto Alex,39.90,2018
111.997.872-08,Marcelo Caua,601.30,2018
111.754.268-87,Melissa Roberto,649.30,2018
111.796.869-60,Bruna Isabela,632.90,2018
111.662.801-01,Maria Viviane,543.60,2018
111.103.187-19,Julia Thiago,526.30,2018
111.466.476-74,Felipe Cecilia,484.30,2018
111.574.474-73,Rafael Luan,658.04,2018
111.891.024-08,Eloah Alana,43.27,2018
111.260.282-02,Melissa Valeria,534.30,2018
111.530.108-03,Otavio Roberto,497.90,2018
111.557.145-83,Leonardo Mauricio,530.30,2018
111.521.275-10,Mateus Vanessa,0.00,2018
111.175.391-02,Elisa Juliana,38.53,2018
111.639.115-92,Maria Evelyn,22.00,2018
111.788.795-24,Natalia Gustavo,50.34,2018
111.638.651-20,Larissa Luan,488.40,2018
111.528.545-30,Sofia Vinicius,15.00,2018
111.850.328-07,Luiz Isabela,35.40,2018
111.847.588-02,Pablo Gabriel,39.17,2018
111.482.028-00,Pedro Maria,51.57,2018
111.641.939-94,Wagner Ricardo,504.30,2018
111.890.672-25,Catarina Hugo,571.10,2018
111.117.498-15,Rafael Helena,0.00,2018
111.279.907-40,Lucas Juliana,41.99,2018
111.388.760-90,Bruna Luiz,525.20,2018
111.333.399-45,Natalia Luiz,492.70,2018
111.905.500-00,Larissa Vitoria,499.40,2018
111.148.267-88,Emilly Caio,518.20,2018
111.541.607-00,Matheus Amanda,526.40,2018
111.620.887-83,Guilhermina Isabela,523.00,2018
111.993.805-17,Renato Elisa,535.70,2018
111.921.544-59,Wagner Felipe,565.00,2018
111.181.101-98,Manuela Vinicius,0.00,2018
111.866.014-69,Pablo Catarina,18.25,2018
111.615.642-19,Alice Leonardo,535.70,2018
111.078.395-18,Bruno Thales,624.04,2018
111.998.298-01,Eduarda Guilhermina,16.00,2018
111.410.738-03,Livia Lara,55.54,2018
111.941.134-57,Luan Beatriz,43.94,2018
111.118.694-50,Otavio Marcelo,488.10,2018
111.010.558-67,Manuela Valeria,587.80,2018
111.437.484-20,Alex Camila,644.10,2018
111.819.545-69,Leticia Alice,504.50,2018
111.318.067-32,Leticia Alex,0.00,2018
111.577.867-50,Leticia Valeria,53.80,2018
111.108.894-11,Fernanda Viviane,52.88,2018
111.108.195-83,Leticia Enzo,628.54,2018
111.215.975-34,Eduardo Joao,546.40,2018
111.649.900-21,Eloah Lucas,0.00,2018
111.617.182-00,Luciana Arthur,46.31,2018
111.376.717-77,Isabela Mateus,589.10,2018
111.974.293-60,Michele Thiago,118.00,2018
111.463.890-86,Isadora Vanessa,47.02,2018
111.788.094-55,Ricardo Maria,383.70,2018
111.114.067-30,Bruna Leonardo,514.60,2018
111.596.826-88,Viviane Lara,553.60,2018
111.501.976-18,Raul Helena,36.32,2018
111.408.331-92,Marcelo Mauricio,492.10,2018
111.572.837-62,Beatriz Lais,50.40,2018
111.322.523-14,Lara Emilly,0.00,2018
111.304.898-63,Manuela Paula,586.00,2018
111.770.317-23,Caua Alex,527.90,2018
111.304.896-09,Sophie Larissa,42.94,2018
111.801.675-25,Felipe Melissa,0.00,2018
111.723.787-08,Juliana Marcos,590.80,2018
111.998.377-09,Pedro Lais,512.80,2018
111.699.463-07,Elisa Renan,620.50,2018
111.746.531-03,Rodrigo Guilherme,562.90,2018
111.947.216-33,Catarina Joao,537.50,2018
111.144.095-99,Sophia Thales,539.20,2018
111.257.924-05,Daniel Leonardo,528.40,2018
111.203.056-02,Mauricio Thiago,38.38,2018
111.636.016-56,Leonardo Vinicius,0.00,2018
111.445.629-66,Paula Laura,446.30,2018
111.565.277-57,Luiz Ricardo,36.84,2018
111.021.024-75,Isadora Pablo,49.50,2018
111.627.278-92,Juliana Nathanael,575.50,2018
111.760.703-15,Guilhermina Nicolas,723.50,2018
111.700.540-63,Julia Otavio,0.00,2018
111.540.933-37,Larissa Gabriel,38.20,2018
111.544.255-04,Amanda Rafael,638.68,2018
111.886.224-44,Lara Vanessa,494.50,2018
111.076.532-09,Amanda Alice,45.81,2018
111.700.927-20,Fernando Catarina,462.90,2018
111.377.670-61,Enzo Felipe,672.94,2018
111.206.518-20,Eduardo Laura,53.84,2018
111.075.712-97,Livia Gabriel,695.86,2018
111.030.707-03,Alice Nicolas,41.10,2018
111.075.378-94,Carolina Alex,389.40,2018
111.213.666-86,Fernando Sofia,38.79,2018
111.232.410-98,Thales Clara,55.19,2018
